ram console header, hw_status: 2, fiq step 0.
bin log 0.

[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]Get MD inf from META
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[0]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[1]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[2]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[3]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]arm_dt_memblock_reserve: 0x4e000000 - 0x4e007212 (0x00007213)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]mtk_wcn_consys_memory_reserve   :   0x7f200000 - 0x7f2fffff (0x00100000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][WMT-CONSYS-HW][I]mtk_wcn_consys_memory_reserve:memblock done: 0x7f200000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43f00000 - 0x43f0ffff (0x00010000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43ff0000 - 0x43ffdfff (0x0000e000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD1 -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD2 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD3 not found
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD5 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD1_SUPPORT -> 00000005
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD2_SUPPORT -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD3_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD5_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD1_SIZE -> 04000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD2_SIZE -> 01000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SMEM_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]ccci_md_mem_reserve   :   0x7a000000 - 0x7e1fffff (0x04200000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]META MD setting not found [0][0]
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x40000000 - 0x79ffffff (0x3a000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]creating mapping start pa: 0x40000000 @ 0xc0000000 , end pa: 0x60000000 @ 0xe0000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7e200000 - 0x7f1fffff (0x01000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7f300000 - 0x7f4bffff (0x001c0000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_possible_cpus(): 4 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_present_cpus(): 1 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.rev setup: rev_10
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.cable: 400MA
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_init: arch_timer_rate(0xc65d40), PHYS_SECURE_PPI=29, PHYS_NONSECURE_PPI=30, VIRT_PPI=27, HYP_PPI=26, 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: arch_timer_rate(0xc65d40), arch_timer_use_virtual=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_SECURE_PPI err=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_NONSECURE_PPI err=0 
[    0.541629 / 01-01 00:00:00.540] msdc1 -> !!! Set<300KHz> Source<200000KHz> -> sclk<299KHz> state<0> mode<0> div<167> hs400_src<0>[    0.556497 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<8><0x1aa> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.557005 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<5><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.557505 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<5><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.558007 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<5><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.558507 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<5><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.559019 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<55><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.559519 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<55><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.560021 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<55><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.560522 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2][MSDC] msdc0 -> XXX CMD<55><0x0> Error<-110> Resp<0x0> <- msdc_dump_trans_error() : L<8073> PID<kworker/u8:2><0x57>
[    0.560535 / 01-01 00:00:00.550]  (2)[87:kworker/u8:2]sd card rocr <0x0>

[    0.561445 / 01-01 00:00:00.560]  (1)[1:swapper/0][msdc_drv_probe]: msdc1, msdcpll en[0xF000C250][bit0 should be 0x1]=0x111, msdcpll on[0xF000C25C][bit0~1 should be 0x1]=0x80000001, mux[0xF0000070][bit23, 16~19 for msdc0, bit31, 24~26 for msdc1]=0x2060200
[    0.563374 / 01-01 00:00:00.560]  (1)[1:swapper/0]rt9536 rt9536: platform data not exist. use default.
[    0.563762 / 01-01 00:00:00.560]  (1)[1:swapper/0][mt-i2c]ERROR,1579: I2C get def_speed failed
[    0.601598 / 01-01 00:00:00.600]  (2)[87:kworker/u8:2][msdc_select_clksrc]: msdc0 change clk_src from 200000KHz to 2:400000KHz
[    0.601672 / 01-01 00:00:00.600] msdc0 -> !!! Set<300KHz> Source<400000KHz> -> sclk<200000KHz> state<3> mode<3> div<0> hs400_src<1>[msdc_set_mclk] hz = 200000000
[    0.601733 / 01-01 00:00:00.600] msdc0 -> !!! Set<200000KHz> Source<400000KHz> -> sclk<200000KHz> state<3> mode<3> div<0> hs400_src<1>
[    0.601913 / 01-01 00:00:00.600] -(2)[87:kworker/u8:2]msdc1 -> Card insert<0> Block bad card<0> <- msdc_ops_get_cd() : L<9143> PID<kworker/u8:2><0x57>
[    0.602303 / 01-01 00:00:00.600]  (2)[87:kworker/u8:2]msdc1 ->  VMC_EN[0x0A16][bit1=disable]=0x500, VMC_VOL[0x0A48][bit1=3.3V]=0x9d3
[    0.602303 / 01-01 00:00:00.600]  <- msdc_sd_power() : L<1923> PID<kworker/u8:2><0x57>
[    0.602395 / 01-01 00:00:00.600]  (2)[87:kworker/u8:2]msdc1 ->  VMCH_EN[0x0A14][bit1=disable]=0x100, VMCH_VOL[0x0A48][bit9=3.0V]=0x9d3
[    0.602395 / 01-01 00:00:00.600]  <- msdc_sd_power() : L<1926> PID<kworker/u8:2><0x57>
[    0.612425 / 01-01 00:00:00.610] msdc1 -> set mclk to 0
[    0.701061 / 01-01 00:00:00.690]  (0)[1:swapper/0][mt-i2c]ERROR,1579: I2C get def_speed failed
[    0.701225 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][F][COMMON] touch_probe()
[    0.701245 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][F][PLATFORM] TouchInitializePlatform()
[    0.701278 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][COMMON] STATE = BOOT
[    0.701295 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] ======== Model Configuration ( Begin ) ========
[    0.701308 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] button_support=0
[    0.701322 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] number_of_button=0
[    0.701336 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] button_name[0]=0
[    0.701350 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] button_name[1]=0
[    0.701364 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] button_name[2]=0
[    0.701378 / 01-01 00:00:00.690]  (0)[1:swapper/0][TOUCH][L][MODEL] button_name[3]=0
[    0.701411 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_x=720
[    0.701425 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_y=1280
[    0.701439 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_pressure=255
[    0.701453 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_width=15
[    0.701467 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_orientation=1
[    0.701481 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] max_id=10
[    0.701495 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] protocol_type=MT_PROTOCOL_B
[    0.701509 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][MODEL] ======== Model Configuration ( End ) ========
[    0.701523 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][F][COMMON] register_input_dev()
[    0.701689 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][F][COMMON] sysfs_register()
[    0.701807 / 01-01 00:00:00.700]  (0)[1:swapper/0][TOUCH][L][PLATFORM] Reset Pin was set to LOW
[    0.721404 / 01-01 00:00:00.720]  (1)[1:swapper/0][TOUCH][L][PLATFORM] Reset Pin was set to HIGH
[    0.881404 / 01-01 00:00:00.880]  (2)[1:swapper/0][TOUCH][L][S3320] Device was reset
[    0.881416 / 01-01 00:00:00.880]  (2)[1:swapper/0][TOUCH][F][S3320] S3320_Initialize()
[    0.881428 / 01-01 00:00:00.880]  (2)[1:swapper/0][TOUCH][F][S3320] read_page_description_table()
[    0.885590 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][D][S3320] common[0P:0x01] finger[0P:0x12] lpwg[4P:0x51] sensor[3P:0x55]analog[1P:0x54] flash[0P:0x34]
[    0.886240 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][F][S3320] S3320_ReadIcFirmwareInfo()
[    0.886470 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Maker=4, Key=0, Supplier=0
[    0.886483 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Panel=1, Size =5.0 [Inch]
[    0.886495 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Version=11 ( Official Release )
[    0.886506 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][F][S3320] S3320_GetBinFirmwareInfo()
[    0.886518 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Firmware filename = synaptics/c90/PLG465-V1.11-PR1815155-DS5.2.12.0.13-4005018B.img
[    0.886532 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Maker=4, Key=0, Supplier=0
[    0.886544 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Panel=1, Size =5.0 [Inch]
[    0.886555 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][S3320] Version=11 ( Official Release )
[    0.886566 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][F][PLATFORM] TouchRegisterIrq()
[    0.886590 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][PLATFORM] Interrupt Disabled
[    0.886601 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][COMMON] STATE = NORMAL
[    0.886934 / 01-01 00:00:00.880]  (1)[1:swapper/0][TOUCH][L][PLATFORM] Interrupt Enabled
[    0.887148 / 01-01 00:00:00.880]  (1)[1:swapper/0][mt-i2c]ERROR,626: id=0,addr: 75, transfer error
[    0.887160 / 01-01 00:00:00.880]  (1)[1:swapper/0][mt-i2c]ERROR,632: I2C_ACKERR
[    0.887462 / 01-01 00:00:00.880]  (1)[1:swapper/0][mt-i2c]ERROR,1579: I2C get def_speed failed
[    0.890902 / 01-01 00:00:00.880]  (1)[1:swapper/0][Gsensor] bma255_i2c_probe
[    0.890914 / 01-01 00:00:00.880]  (1)[1:swapper/0][Gsensor] bma255_init_client
[    0.891883 / 01-01 00:00:00.890] [Gsensor] BMA255_CheckDeviceID 250 pass!
 BMA255_CheckDeviceID ok 
[    0.892215 / 01-01 00:00:00.890]  (1)[1:swapper/0][Gsensor] Set BWrate: 0x0c
[    0.892553 / 01-01 00:00:00.890]  (1)[1:swapper/0][Gsensor] Set DataFormat: 0x05
[    0.893205 / 01-01 00:00:00.890]  (1)[1:swapper/0][Gsensor] BMA255 interrupt was disabled
[    0.893226 / 01-01 00:00:00.890]  (1)[1:swapper/0][Gsensor] BMA255_SetPowerMode
[    0.893553 / 01-01 00:00:00.890]  (1)[1:swapper/0][Gsensor] set power mode ok: 0x80
[    0.923673 / 01-01 00:00:00.920]  (1)[1:swapper/0][Gsensor] bma255_i2c_probe: OK
[    0.936973 / 01-01 00:00:00.930]  (1)[1:swapper/0][mt-i2c]ERROR,1579: I2C get def_speed failed
[    0.937419 / 01-01 00:00:00.930]  (1)[1:swapper/0]i2c i2c-3: Failed to register i2c client kd_camera_hw_bus2 at 0x7f (-16)
[    0.937434 / 01-01 00:00:00.930]  (1)[1:swapper/0]i2c i2c-3: Can't create device at 0x7f
[    0.937957 / 01-01 00:00:00.930]  (1)[1:swapper/0]i2c_common device init
[    0.938175 / 01-01 00:00:00.930]  (1)[1:swapper/0]i2c_common device probe
[    0.953661 / 01-01 00:00:00.950]  (1)[1:swapper/0][swtp] swtp_sysfs_init.
[    0.953688 / 01-01 00:00:00.950]  (1)[1:swapper/0]swtp_mod_init.
[    0.955817 / 01-01 00:00:00.950]  (0)[1:swapper/0][swtp_tr] running swtp thread
[    0.955945 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]mtk_btif_probe:DO BTIF PROBE
[    0.956125 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]hal_btif_info_get:_btif_tx_fifo_init succeed
[    0.956228 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]_btif_set_default_setting:get btif irq(144),register base(0xe225c000)
[    0.956242 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]_btif_set_default_setting:get interrupt flag(0x8)
[    0.956255 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]_btif_set_default_setting:get register phy base(0x1100c000)
[    0.956356 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get tx_dma irq(142),register base(0xe225e700)
[    0.956370 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get interrupt flag(0x8)
[    0.956384 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get register phy base dma_dir(1)(0x11000700)
[    0.956404 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]_btif_vfifo_init:alloc vFIFO for BTIF succeed in arch32,vir addr:0xe0832000, phy addr:0x5f98a000
[    0.956479 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get rx_dma irq(143),register base(0xe2272780)
[    0.956493 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get interrupt flag(0x8)
[    0.956506 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF-DMA[I]hal_dma_set_default_setting:get register phy base dma_dir(0)(0x11000780)
[    0.956523 / 01-01 00:00:00.950]  (0)[1:swapper/0]MTK-BTIF[I]_btif_vfifo_init:alloc vFIFO for BTIF succeed in arch32,vir addr:0xe0834000, phy addr:0x5f98c000
[    0.956620 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]_btif_rx_btm_init:set RT to btif_rxd workqueue succeed
[    0.956637 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]_btif_rx_btm_init:rx_spin_lock init succeed
[    0.956650 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]_btif_tx_ctx_init:nothing is done when btif tx in user's thread
[    0.956662 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]_btif_tx_ctx_init:succeed
[    0.956676 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]btif_chrdev_init:devuce number allocation succeed
[    0.956690 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]btif_chrdev_init:add btif dev to kernel succeed
[    0.956714 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]btif_chrdev_init:create class for btif succeed
[    0.956767 / 01-01 00:00:00.950]  (3)[1:swapper/0]MTK-BTIF[I]btif_chrdev_init:create device for btif succeed
[    0.956992 / 01-01 00:00:00.950]  (3)[1:swapper/0][PRE_SELFD] pre_selfd driver registration done
[    0.982892 / 01-01 00:00:00.980]  (1)[1:swapper/0]mt-soc-codec mt-soc-codec: ASoC: no source widget found for SPEAKER PGA
[    0.982909 / 01-01 00:00:00.980]  (1)[1:swapper/0]mt-soc-codec mt-soc-codec: ASoC: Failed to add route SPEAKER PGA -> Voice Mux -> VOICE_Mux_E
[    0.983177 / 01-01 00:00:00.980]  (1)[1:swapper/0]mt-soc-codec mt-soc-codec: ASoC: no source widget found for SPEAKER PGA
[    0.983188 / 01-01 00:00:00.980]  (1)[1:swapper/0]mt-soc-codec mt-soc-codec: ASoC: Failed to add route SPEAKER PGA -> Voice Mux -> VOICE_Mux_E
[    0.986578 / 01-01 00:00:00.980]  (1)[1:swapper/0]ALSA control.c:357 control 2:0:0:cmb stub Audio Control:0 is already present
[    0.986594 / 01-01 00:00:00.980]  (1)[1:swapper/0]mt-soc-fm-i2s-pcm mt-soc-fm-i2s-pcm: ASoC: Failed to add cmb stub Audio Control: -16
[    1.006872 / 01-01 00:00:01.000]  (0)[1:swapper/0][LMK]total_low_ratio[2] - totalram_pages[236097] - totalhigh_pages[111040]
[    1.008207 / 01-01 00:00:01.000]  (2)[1:swapper/0][ccci1/err/mcd]modem OF node NULL
[    1.008299 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 96 to cpu 0
[    1.008311 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01010100
[    1.008322 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 96 to cpu 0
[    1.008334 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01010101
[    1.008367 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 97 to cpu 0
[    1.008378 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01010001
[    1.008390 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 97 to cpu 1
[    1.008401 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01010201
[    1.008430 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 98 to cpu 0
[    1.008442 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01000201
[    1.008453 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 98 to cpu 2
[    1.008464 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x01040201
[    1.008493 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 99 to cpu 0
[    1.008504 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x00040201
[    1.008516 / 01-01 00:00:01.000]  (2)[1:swapper/0]set irq 99 to cpu 3
[    1.008527 / 01-01 00:00:01.000]  (2)[1:swapper/0]reg 0xf0221860 = 0x08040201
[    1.045740 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[0]=0x3
[    1.045749 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[1]=0x45
[    1.045758 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[2]=0x14ad4ed7
[    1.045766 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[3]=0x880072
[    1.045775 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[4]=0x13ba3026
[    1.045783 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[5]=0xd564
[    1.045792 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[6]=0x0
[    1.045800 / 01-01 00:00:01.040]  (2)[1:swapper/0]val[7]=0x8e
[    1.045808 / 01-01 00:00:01.040]  (2)[1:swapper/0]p->PTPINITEN=0x1
[    1.045816 / 01-01 00:00:01.040]  (2)[1:swapper/0]p->PTPMONEN=0x1
[    1.064624 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init_det(), det->VBOOT = 51
[    1.064648 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init_det(), det->VBOOT = 48
[    1.064673 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init_det(), det->VBOOT = 48
[    1.068308 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init01(),get_volt(PTP_DET_MCUSYS), vboot = 51
[    1.068346 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init01(),get_volt(PTP_DET_GPUSYS), vboot = 48
[    1.068385 / 01-01 00:00:01.060]  (3)[1:swapper/0][PTP] 1@ptp_init01(),get_volt(PTP_DET_SOC), vboot = 48
[    1.068958 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] @ handle_init02_isr(PTP_DET_MCUSYS)
[    1.068990 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] init02 ptp_read(PTP_VOP30) = 0x2D333A3D
[    1.069007 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] init02 ptp_read(PTP_VOP74) = 0x10101521
[    1.069219 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] base_ops_mon_mode det->MTS = 504, det->BTS = 1756
[    1.070152 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] @ handle_init02_isr(PTP_DET_SOC)
[    1.070183 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] init02 ptp_read(PTP_VOP30) = 0x30303036
[    1.070201 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] init02 ptp_read(PTP_VOP74) = 0x30303030
[    1.070409 / 01-01 00:00:01.060] -(0)[0:swapper/0][PTP] base_ops_mon_mode det->MTS = 504, det->BTS = 1756
[    1.085571 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] @ handle_mon_mode_isr(PTP_DET_MCUSYS)
[    1.085605 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] mon ptp_read(PTP_VOP30) = 0x282F363A
[    1.085622 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] mon ptp_read(PTP_VOP74) = 0x1010101C
[    1.085855 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] @ handle_mon_mode_isr(PTP_DET_SOC)
[    1.085886 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] mon ptp_read(PTP_VOP30) = 0x30303030
[    1.085899 / 01-01 00:00:01.080] -(0)[0:swapper/0][PTP] mon ptp_read(PTP_VOP74) = 0x30303030
[    1.124990 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_ffs, f->name = ffs
[    1.125036 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init ffs success!!
[    1.125049 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_adb, f->name = adb
[    1.125107 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init adb success!!
[    1.125119 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_acm, f->name = acm
[    1.125257 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init acm success!!
[    1.125273 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_laf, f->name = laf
[    1.125323 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init laf success!!
[    1.125335 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_mtp, f->name = mtp
[    1.125458 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init mtp success!!
[    1.125470 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_ptp, f->name = ptp
[    1.125498 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init ptp success!!
[    1.125509 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_ecm, f->name = ecm
[    1.125537 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init ecm success!!
[    1.125550 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_eem, f->name = eem
[    1.125577 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init eem success!!
[    1.125590 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_gser, f->name = gser
[    1.125717 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init gser success!!
